id,identifier,power,pp
1,pound,40,35
2,karate-chop,50,25
3,double-slap,15,10
4,comet-punch,18,15
5,mega-punch,80,20
6,pay-day,40,20
7,fire-punch,75,15
8,ice-punch,75,15
9,thunder-punch,75,15
10,scratch,40,35
11,vice-grip,55,30
12,guillotine,,5
13,razor-wind,80,10
14,swords-dance,,20
15,cut,50,30
16,gust,40,35
17,wing-attack,60,35
18,whirlwind,,20
19,fly,90,15
20,bind,15,20
21,slam,80,20
22,vine-whip,45,25
23,stomp,65,20
24,double-kick,30,30
25,mega-kick,120,5
26,jump-kick,100,10
27,rolling-kick,60,15
28,sand-attack,,15
29,headbutt,70,15
30,horn-attack,65,25
31,fury-attack,15,20
32,horn-drill,,5
33,tackle,40,35
34,body-slam,85,15
35,wrap,15,20
36,take-down,90,20
37,thrash,120,10
38,double-edge,120,15
39,tail-whip,,30
40,poison-sting,15,35
41,twineedle,25,20
42,pin-missile,25,20
43,leer,,30
44,bite,60,25
45,growl,,40
46,roar,,20
47,sing,,15
48,supersonic,,20
49,sonic-boom,,20
50,disable,,20
51,acid,40,30
52,ember,40,25
53,flamethrower,90,15
54,mist,,30
55,water-gun,40,25
56,hydro-pump,110,5
57,surf,90,15
58,ice-beam,90,10
59,blizzard,110,5
60,psybeam,65,20
61,bubble-beam,65,20
62,aurora-beam,65,20
63,hyper-beam,150,5
64,peck,35,35
65,drill-peck,80,20
66,submission,80,20
67,low-kick,,20
68,counter,,20
69,seismic-toss,,20
70,strength,80,15
71,absorb,20,25
72,mega-drain,40,15
73,leech-seed,,10
74,growth,,20
75,razor-leaf,55,25
76,solar-beam,120,10
77,poison-powder,,35
78,stun-spore,,30
79,sleep-powder,,15
80,petal-dance,120,10
81,string-shot,,40
82,dragon-rage,,10
83,fire-spin,35,15
84,thunder-shock,40,30
85,thunderbolt,90,15
86,thunder-wave,,20
87,thunder,110,10
88,rock-throw,50,15
89,earthquake,100,10
90,fissure,,5
91,dig,80,10
92,toxic,,10
93,confusion,50,25
94,psychic,90,10
95,hypnosis,,20
96,meditate,,40
97,agility,,30
98,quick-attack,40,30
99,rage,20,20
100,teleport,,20
101,night-shade,,15
102,mimic,,10
103,screech,,40
104,double-team,,15
105,recover,,10
106,harden,,30
107,minimize,,10
108,smokescreen,,20
109,confuse-ray,,10
110,withdraw,,40
111,defense-curl,,40
112,barrier,,20
113,light-screen,,30
114,haze,,30
115,reflect,,20
116,focus-energy,,30
117,bide,,10
118,metronome,,10
119,mirror-move,,20
120,self-destruct,200,5
121,egg-bomb,100,10
122,lick,30,30
123,smog,30,20
124,sludge,65,20
125,bone-club,65,20
126,fire-blast,110,5
127,waterfall,80,15
128,clamp,35,15
129,swift,60,20
130,skull-bash,130,10
131,spike-cannon,20,15
132,constrict,10,35
133,amnesia,,20
134,kinesis,,15
135,soft-boiled,,10
136,high-jump-kick,130,10
137,glare,,30
138,dream-eater,100,15
139,poison-gas,,40
140,barrage,15,20
141,leech-life,80,10
142,lovely-kiss,,10
143,sky-attack,140,5
144,transform,,10
145,bubble,40,30
146,dizzy-punch,70,10
147,spore,,15
148,flash,,20
149,psywave,,15
150,splash,,40
151,acid-armor,,20
152,crabhammer,100,10
153,explosion,250,5
154,fury-swipes,18,15
155,bonemerang,50,10
156,rest,,10
157,rock-slide,75,10
158,hyper-fang,80,15
159,sharpen,,30
160,conversion,,30
161,tri-attack,80,10
162,super-fang,,10
163,slash,70,20
164,substitute,,10
165,struggle,50,1
